label,text
0,为什么没有辣椒
0,送的太慢了，11:30左右下的单子，一点才到。都上班了
0,接线员态度极其差
1,我把地址弄错了，骑士二话没说就马上给我送了过来，服务棒棒哒！给一个大大的赞
1,第一次点，不错。评价有点晚，送餐师傅服务好，速度快
0,"呵呵,，,真可以，之前感觉您家特别实惠。没想到这次缩水到这种程度！！！一共就这么几块肉！"
0,没有堂食好，最差是薯条
1,很好吃，但是送餐有点儿慢
0,送晚了，给了半价。东西都凉了
0,饭和汤都是凉的!
0,送餐慢'菜和粥都咸
0,量大，味道差
0,肉，豆腐，蔬菜都不新鲜、味道差极，关门少骗人吧
0,没以前好吃了，还跟乌龟一样慢死了
0,送餐很快，但是没给发票。味道还可以，凑合吃吧。
0,"实际上用了1个半小时才送了，店里的电话一直打不通，百度的电话打通了没人接，最后直接要求评价，直接不满意！！,送来的饭菜都凉了根本就没法吃！这是最最最最最不满意的一次订餐,没法形容内心的愤怒，质量也不好。要是没钱就别参加外卖好么！！,最最差评给你们家了"
1,送餐小哥特别好，饭也不错
1,太实惠了，吃到撑啊！
0,有机菜花里有虫子
0,"10:25点的。13点10分之后到。,中间电话都打不通。最后我直接不要了"
0,餐送来时都是凉的了；味道也和在店里吃的不一样；点的鱿鱼须整份，总共就几根；也没给一次性筷子；外卖的袋子也没有一麻一辣的图案标志，不知道是不是一麻一辣的东西。
1,包装很好，很快，就是感觉有点少。
0,送餐晚到半小时不说，还给弄翻一道菜，菜汤弄的哪都是，真是无语了。
0,凉了，不怎么好吃
0,10点50下单，店里电话一直占线，经过多次网络催单以后，12点50分才送达。和这种糟糕服务和效率的店家合作，百度外卖迟早自己把自己玩死！
0,差评，送过来晚不说，扯面已经成浆糊了，面条一个小时前做好了没有人送黏了。建议后续商家做饭前和送外卖的提前商量好，再做。保证饭菜质量
1,总体很好，不过满百送的可乐呢？怎么没见到？
1,挺好的也挺快，味道不错！送餐小伙态度极好！
0,十点多点的，快两点才到，这速度，也是醉了。以后吧不会再买。
0,菜品质量啊不错，但是送餐速度也太慢了。
0,不是很适合个人口味
1,麻辣香锅做的真好吃，
0,退了，呵呵
1,"每次都很快,一如既往的好吃"
0,才发现没有送小果粒橙
1,味道还不错，比想象中小......感觉不是很值
1,送餐帅哥服务超好。。
0,太慢了，差评
1,芝士薯蓉烤过火了
0,老坛酸菜牛肉面不是特别好吃，面不筋道，比较油腻。
1,超级超级美味
0,饺子到了都烂了
0,送的有些慢，可能是点餐人多吧，忍了；排骨汤，全骨头渣子；烤翅，mini的吧？而且味道也不行，干巴巴。
0,两个小时才送到！告诉以为单子错了！错了不会问啊！错了钱已经付了啊！错了催单你们还说在路上了！店里的客服跟傻子似的，问什么都不知道！送到所有东西都是凉的！味道也非常差！皮蛋瘦肉粥居然没放盐！
0,米饭里十来厘米的长头发，这是能看的到的，真担心他家的卫生问题，以后再也不敢叫他家的外卖了
0,巨难吃，鸡丁没几块都在油里泡着，油太大啦！酸辣土豆丝，请问醋在哪里？辣在哪里？不酸也不辣！这两个菜一起点，已经是我多年的习惯，在n家餐馆吃过，只有这家是最差的！
0,点炒菜居然没有米饭，还送了一个半多小时也是醉了
0,时间送错了，宫保鸡丁饭比较好吃
0,希望评价中可以增加上传图片功能。我点的冰的，结果派送员说餐厅做错了，做的热的，说给我换一杯，我说算了，热的就热的吧！收到后，已经不是热的了，就是温的，还洒了好多，洒了得有五分之一吧！杯子上，袋子里都是咖啡。派送员说再去给买一个送来，这么热的天，怎么好意思再折腾，就只能收下，希望下次送餐不要再有这种事情发生了。等了大概一个半小时，收到一杯不冷不热的，真难喝。
1,上次少的粥我在备注里写了，果真送到了。
1,味道很棒啊
1,就是有点小
0,我等了一个半小时才送到，都快上课了根本没机会吃了，打电话想取消订单打了无数次都打不通！！！！
0,菜品做的也就那样，水果沙拉基本上都是梨，汤没味，感觉像是前一天剩的又加水煮的。
0,"2:30送到,小伙伴们,看着办吧"
1,百度送货员非常快就送来了，就是商家不给筷子不太方便！
0,晚到15分钟，还少送了一个鸡腿。差！
0,味道不错，但是为啥那么多沙子！貌似是蘑菇里的……
0,"菜单没写清楚，少来一份米饭，点了近100块钱的东西打电话要,就是不送。真行。,30块钱就送,100块钱就不能多送1次？？？,让我理解你们，我饿着光喝汤不吃米饭,我能吃饱啊？,谁能理解我？？？"
1,味道不错，就是凉的
1,做得很不错，味道，也很好，要的鸡腿卷饼，要是鸡腿能把鸡皮去掉就更好了。
0,差评，11点14订餐，13点20饭才到，2个小时才把我的午饭送到，而且还是打了2次客服电话，1次投诉电话才给送来，要是不打电话都不知道几点能吃上午饭？
0,"配送能力有限,为什么不使用百度派送"
0,明明点了可乐，居然没送过来？！上次也少送了一次我没吭声，这次又少送！真够差劲的！
0,不到800米的距离，取餐到送到居然用了1个小时，面都坨成一坨了
1,特别幸苦，特别感谢！
1,送餐快，我觉得挺好
0,太差劲了，12：50下单，14：15才收到，你们是去现买鸡不成，最受不了的是，连一次性筷子都不给，是让客人吃手抓饭吗？
1,辣椒放太多了吧
0,太难吃了，无法形容！
0,菜少了些，其他的还行吧
0,没有沙拉番茄
1,很环保的袋子，这个点赞！饼小一个不够吃，面皮不够有韧性。香菇鸡肉盖饭挺好吃的！
1,味道很好！速度也够快！
1,商家因为某个东西售完直接取消了订单，就不能提前打个电话么，白等了半小时。
1,虽然送达晚了一点，但是快递员提前打电话告知了缘由，态度非常好，我们也非常理解，雾霾天快递员小哥们不容易哦！表示感谢！好评！
1,送单小哥的电动车没电了，送餐时间差一分钟就超时了，希望后续不要出现类似的问题哈
0,送餐太慢，晚了半个多小时
1,好吃，送餐时间太早了
0,"菜都送错了,辣牛肉变成了大酱汤,小菜也错了"
1,非常好！！我家住六层，送餐人员直接就爬上来了送到家门口，态度特别好，辛苦！感谢！
0,口味一般！蕨菜用塑料袋装的，感觉很不好，为什么不用小碗装呢？以后不会吃了
0,等待120多分钟我也是醉了
0,明明点的两份饭，却送来一份
1,大冷天的，快递小哥跟热情，准时，辛苦辛苦，很感谢
1,有点油腻～其他很好
0,"十一点后点餐,送的慢,不过味道确实不错"
0,最，最，最差劲的一次订餐
0,配送好慢啊，已经取消的订单还是给送了，生生的被订餐了
1,提前订，还是挺快的！送餐师傅人很好！
0,你家要送不了，趁早包给百度外卖。等了一个多小时。
0,"非常差,味道差,服务差,打电话过去服务员素质太低,没办法,素质一天教育不出来"
0,非常的不好吃
0,"一个纸盒王老吉定价5块,太黑"
1,一次买了40个哈哈。好吃
0,"我真的是特么的服了这个送餐速度了,2个小时,我特么,催了1个多小时,东西还真挺特么好吃的,就是太特么慢了,以后大伙们想吃就去店里吧,定了肯定耽误事儿,今天我特么就认了"
0,不到11点下单，一点半才送到，如果你想饿死，就定这家吧
0,为什么每次都要迟到！！！！！！用丽华贵宾卡可不是这样的！！！
1,"忘了备注不要皮蛋瘦肉粥,还是喜欢南瓜粥一些"
1,"量太大了,还算准时,喜欢黄太吉"
